# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        1.922        3.562
       0.101       49.600        1.922        3.562
       0.202       69.500        1.922        3.562
       0.302       59.700        1.922        3.562
       0.403       59.600        1.922        3.562
       0.503       49.700        1.922        3.562
       0.604       59.600        1.922        3.562
       0.705       59.500        1.922        3.562
       0.806       59.600        1.922        3.562
       0.906       59.600        1.922        3.562
       1.007       69.500        1.922        3.562
       1.108       59.600        1.922        3.562
       1.209       49.600        1.922        3.562
       1.309       59.600        1.922        3.562
       1.410       59.600        1.922        3.562
       1.511       69.500        1.922        3.562
       1.611       59.600        1.922        3.562
       1.712       59.600        1.922        3.562
       1.813       59.600        1.922        3.562
       1.913       59.600        1.922        3.562
       2.014       49.700        1.922        3.562
       2.115       69.500        1.922        3.562
       2.216       59.600        1.922        3.562
       2.316       69.500        1.922        3.562
       2.417       49.600        1.922        3.562
       2.518       59.600        1.922        3.562
       2.619       59.500        1.922        3.562
       2.719       59.600        1.922        3.562
       2.820       69.500        1.922        3.562
       2.921       59.600        1.922        3.562
       3.021       49.600        1.922        3.562
       3.122       59.600        1.922        3.562
       3.223       69.500        1.922        3.562
       3.324       59.600        1.922        3.562
       3.424       69.500        1.922        3.562
       3.525       49.600        1.922        3.562
       3.626       69.500        1.922        3.562
       3.727       59.600        1.922        3.562
       3.827       49.600        1.922        3.562
       3.928       59.600        1.922        3.562
       4.029       59.600        1.922        3.562
       4.129       59.600        1.922        3.562
       4.230       59.600        1.922        3.562
       4.331       69.500        1.922        3.562
       4.432       59.600        1.922        3.562
       4.532       59.600        1.922        3.562
       4.633       49.600        1.922        3.562
       4.734       69.500        1.922        3.562
       4.835       59.600        1.922        3.562
       4.935       59.600        1.922        3.562
       5.036       59.600        1.922        3.562
       5.137       59.600        1.922        3.562
       5.237       59.600        1.922        3.562
       5.338       59.600        1.922        3.562
       5.439       69.500        1.922        3.562
       5.540       59.600        1.922        3.562
       5.640       49.600        1.922        3.562
       5.741       69.500        1.922        3.562
       5.842       49.600        1.922        3.562
       5.942       69.500        1.922        3.562
       6.043       59.600        1.922        3.562
       6.144       59.600        1.922        3.562
       6.245       69.500        1.922        3.562
       6.345       59.600        1.922        3.562
       6.446       49.600        1.922        3.562
       6.547       59.600        1.922        3.562
